epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9048235416412354,0.0010000000474974513,0.402100145816803,0.09922222048044205,8.330974578857422
1,0.972725510597229,0.0009755282662808895,0.13057845830917358,0.941777765750885,0.2008647471666336
2,0.9797646999359131,0.0009045085171237588,0.1010502278804779,0.9397777915000916,0.2226720154285431
3,0.9830392003059387,0.0007938926573842764,0.08749290555715561,0.929444432258606,0.24523141980171204
4,0.9870392084121704,0.0006545084761455655,0.0737978145480156,0.9732221961021423,0.118667833507061
5,0.9905882477760315,0.0004999999655410647,0.061907991766929626,0.9461110830307007,0.1834070235490799
6,0.992588222026825,0.0003454914258327335,0.0534064844250679,0.975777804851532,0.11135972291231155
7,0.9949607849121094,0.00020610741921700537,0.04583403840661049,0.9819999933242798,0.0828443318605423
8,0.9969803690910339,9.54914721660316e-05,0.0398717075586319,0.9886666536331177,0.06172747164964676
9,0.9975489974021912,2.4471761207678355e-05,0.03734349459409714,0.9905555844306946,0.05494048073887825
10,0.981333315372467,0.0010000000474974513,0.08885230123996735,0.8063333630561829,0.6391592025756836
11,0.9869411587715149,0.0009938442381098866,0.07502329349517822,0.9452221989631653,0.1958632618188858
12,0.987490177154541,0.0009755282662808895,0.07188808172941208,0.9523333311080933,0.19069840013980865
13,0.9898235201835632,0.0009455032995902002,0.06575729697942734,0.9546666741371155,0.17288056015968323
14,0.9905294179916382,0.0009045085171237588,0.06318513303995132,0.886888861656189,0.4819509983062744
15,0.9921372532844543,0.0008535534725524485,0.05716058239340782,0.7475555539131165,1.1387171745300293
